序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
11,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,6Dv7gf2qiL4Nuo2moUz9bv,https://www.ncss.cn/student/jobs/6Dv7gf2qiL4Nuo2moUz9bv/detail.html,2026-06-24T14:26:03.162456,3ab8d0fb2e19b011,923f33764134da82,算法工程师,西安华为技术有限公司,西安,,11-12K/月,11000,12000,12,本科,本科及以上,应届生,应届生,0,0,应届,全职,,5000以上,,2026-05-25,1779678000000,,,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"岗位职责
1、负责无线基站产品射频、通信等系统的算法研究、技术开发，构建算法核心竞争力。
2、负责面向5G基站、射频测试系统的新形态架构算法研究与创新，包括采用AI与数值优化等，构建业界领先产品。
3、从事泛通信领域的技术研究、系统分析、算法设计等，结合垂直行业应用，参与算法和关键技术的总体方案设计。
岗位要求
1、具有一定的通信、信号处理、算法设计、数学等能力
2、具备一定的算法仿真能力，掌握任意一种工具用于研究，具有团队精神，积极乐观
3、27届应届生，大三、研二、博三/博四","岗位职责
1、负责无线基站产品射频、通信等系统的算法研究、技术开发，构建算法核心竞争力。
2、负责面向5G基站、射频测试系统的新形态架构算法研究与创新，包括采用AI与数值优化等，构建业界领先产品。
3、从事泛通信领域的技术研究、系统分析、算法设计等，结合垂直行业应用，参与算法和关键技术的总体方案设计。
岗位要求
1、具有一定的通信、信号处理、算法设计、数学等能力
2、具备一定的算法仿真能力，掌握任意一种工具用于研究，具有团队精神，积极乐观
3、27届应届生，大三、研二、博三/博四","1、具有一定的通信、信号处理、算法设计、数学等能力
2、具备一定的算法仿真能力，掌握任意一种工具用于研究，具有团队精神，积极乐观
3、27届应届生，大三、研二、博三/博四","1、负责无线基站产品射频、通信等系统的算法研究、技术开发，构建算法核心竞争力。
2、负责面向5G基站、射频测试系统的新形态架构算法研究与创新，包括采用AI与数值优化等，构建业界领先产品。
3、从事泛通信领域的技术研究、系统分析、算法设计等，结合垂直行业应用，参与算法和关键技术的总体方案设计",,,,,,,requirement_text,major_missing|skill_candidate_missing|district_missing
12,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,LtTUMne83v7RHGKRJXET7u,https://www.ncss.cn/student/jobs/LtTUMne83v7RHGKRJXET7u/detail.html,2026-06-24T14:26:10.859789,1b12112eb193c277,d306ba0a24218e05,并网逆变器算法工程师,苏州汇川技术有限公司,西安,,6-7K/月,6000,7000,12,硕士,硕士及以上,,,,,未说明,实习,,5000以上,,2026-05-23,1779505212000,,,not_provided,电气工程|自动化,电气类|自动化,电气类=>工学 || 自动化=>工学,要求,1.教育背景：27届硕士及以上学历，电力电子、电气工程、新能源、自动化等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"工作职责:
1、参与储能PCS海外产品的认证测试，国内产品adpss 建模测试和交付
2、对储能变流器相关国家的并网标准进行解读，输出该标准对并网的详细技术要求；
2、基于标准的解读文件，输出软件、硬件等设计要求，帮助储能变流器产品开发，形成符合该国家的并网需求包；
任职资格:
任职要求：
1.教育背景：27届硕士及以上学历，电力电子、电气工程、新能源、自动化等相关专业
2.熟悉并网变流器基本原理，理解矢量控制算法，掌握C语言开发
3.熟悉仿真建模工具，具备电力电子建模与仿真能力者优先
4.具备良好逻辑思维能力，沟通协作能力和团队协作精神；
5.英语能力良好，能够阅读和撰写相关技术文档和资料。
6.985/211优先，对汇川有意向，可以作为27届储备，实习时间大于3个月","工作职责:
1、参与储能PCS海外产品的认证测试，国内产品adpss 建模测试和交付
2、对储能变流器相关国家的并网标准进行解读，输出该标准对并网的详细技术要求；
2、基于标准的解读文件，输出软件、硬件等设计要求，帮助储能变流器产品开发，形成符合该国家的并网需求包；
任职资格:
任职要求：
1.教育背景：27届硕士及以上学历，电力电子、电气工程、新能源、自动化等相关专业
2.熟悉并网变流器基本原理，理解矢量控制算法，掌握C语言开发
3.熟悉仿真建模工具，具备电力电子建模与仿真能力者优先
4.具备良好逻辑思维能力，沟通协作能力和团队协作精神；
5.英语能力良好，能够阅读和撰写相关技术文档和资料。
6.985/211优先，对汇川有意向，可以作为27届储备，实习时间大于3个月","任职要求：
1.教育背景：27届硕士及以上学历，电力电子、电气工程、新能源、自动化等相关专业
2.熟悉并网变流器基本原理，理解矢量控制算法，掌握C语言开发
3.熟悉仿真建模工具，具备电力电子建模与仿真能力者优先
4.具备良好逻辑思维能力，沟通协作能力和团队协作精神；
5.英语能力良好，能够阅读和撰写相关技术文档和资料。
6.985/211优先，对汇川有意向，可以作为27届储备，实习时间大于3个月","1、参与储能PCS海外产品的认证测试，国内产品adpss 建模测试和交付
2、对储能变流器相关国家的并网标准进行解读，输出该标准对并网的详细技术要求；
2、基于标准的解读文件，输出软件、硬件等设计要求，帮助储能变流器产品开发，形成符合该国家的并网需求包",,,,,,,requirement_text,skill_candidate_missing|district_missing
13,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,GCbh9xQcKPRzEyKRDuF388,https://www.ncss.cn/student/jobs/GCbh9xQcKPRzEyKRDuF388/detail.html,2026-06-24T14:26:14.655269,062648167afd6bdf,36f18331b8eb1bea,射频算法工程师,西安华为技术有限公司,西安,,8-9K/月,8000,9000,12,硕士,硕士及以上,,,,,未说明,全职,,1000-4999人,,2026-05-22,1779418820000,,,not_provided,,,,未说明,1、微波网络、电子电路、天线、通信、机械等相关专业,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"岗位职责
1、承担射频算法的方案设计、产品开发、测试验证等工作，包含收发信机中的射频软特性、数字滤波器等；
2、承担新一代无线通信射频技术的开发工作，根据客户及产品需求，进行新产品、新特性的分析、设计开发、测试验证。
岗位要求
1、微波网络、电子电路、天线、通信、机械等相关专业；
2、具备射频硬件电路、功放、天线、滤波器的开发及调试经验。
3、具备信号与系统、数字信号处理、通信原理、数值分析、非线性系统建模等专业课程知识基础","岗位职责
1、承担射频算法的方案设计、产品开发、测试验证等工作，包含收发信机中的射频软特性、数字滤波器等；
2、承担新一代无线通信射频技术的开发工作，根据客户及产品需求，进行新产品、新特性的分析、设计开发、测试验证。
岗位要求
1、微波网络、电子电路、天线、通信、机械等相关专业；
2、具备射频硬件电路、功放、天线、滤波器的开发及调试经验。
3、具备信号与系统、数字信号处理、通信原理、数值分析、非线性系统建模等专业课程知识基础","1、微波网络、电子电路、天线、通信、机械等相关专业；
2、具备射频硬件电路、功放、天线、滤波器的开发及调试经验。
3、具备信号与系统、数字信号处理、通信原理、数值分析、非线性系统建模等专业课程知识基础","1、承担射频算法的方案设计、产品开发、测试验证等工作，包含收发信机中的射频软特性、数字滤波器等；
2、承担新一代无线通信射频技术的开发工作，根据客户及产品需求，进行新产品、新特性的分析、设计开发、测试验证",,,,,,,requirement_text,major_missing|skill_candidate_missing|district_missing
14,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,NAUsFErdKYmKCXAhVD6xxT,https://www.ncss.cn/student/jobs/NAUsFErdKYmKCXAhVD6xxT/detail.html,2026-06-24T14:26:29.676723,d02b7b763c3c6474,b160709eea2367d4,AI算法工程师（面向27届实习生）,华为技术有限公司,西安,,6-10K/月,6000,10000,12,本科,本科及以上,,,,,未说明,实习,,5000以上,,2026-05-14,1778727623000,,,not_provided,计算机|软件工程|电子信息|自动化|人工智能,计算机类|软件工程|电子信息类|自动化|人工智能,计算机类=>工学 || 软件工程=>工学 || 电子信息类=>工学 || 自动化=>工学 || 人工智能=>工学,要求,1、人工智能、计算机、软件工程、电子信息、自动化等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"*面向同学：27届找实习 本硕博均有岗位
*Base地：西安、东莞、北京、上海、成都、南京、长沙、济南
【岗位职责】
1、参与实际产品的AI大模型与AI算法在各类业务场景中的应用开发、集成与迭代优化；
2、参与AI大模型与AI算法应用相关的需求分析、模型微调、RAG检索 ，提升模型在各类场景下的应用效果；
3、参与产品、数据、业务等团队协作，建立AI大模型与AI应用相关的数据分析、效果评估、问题定位与持续优化，提升用户体验和业务价值。
【岗位要求】
1、人工智能、计算机、软件工程、电子信息、自动化等相关专业；
2、熟悉主流大模型应用开发框架，掌握大模型原理（如Transformer架构、微调技术、向量数据库等）或AI算法原理（如神经网络、强化学习、树模型、知识图谱等）；或有大模型（如GPT、DeepSeek、Qwen系列等）应用或神经网络（CNN、RNN、GNN等）开发经验，熟悉NLP/知识图谱/智能问答/对话系统/文生图/文生视频等领域；
3、具备扎实的编程能力，熟练掌握 Python、C++、Java 等至少一种编程语言。
【面试流程】
机考-综测-专业面-终面
【你会拥有】
1.接触前沿技术
2.一对一导师带教
3.轻松团队氛围
4.成熟培养机制
期待你的加入！","*面向同学：27届找实习 本硕博均有岗位
*Base地：西安、东莞、北京、上海、成都、南京、长沙、济南
【岗位职责】
1、参与实际产品的AI大模型与AI算法在各类业务场景中的应用开发、集成与迭代优化；
2、参与AI大模型与AI算法应用相关的需求分析、模型微调、RAG检索 ，提升模型在各类场景下的应用效果；
3、参与产品、数据、业务等团队协作，建立AI大模型与AI应用相关的数据分析、效果评估、问题定位与持续优化，提升用户体验和业务价值。
【岗位要求】
1、人工智能、计算机、软件工程、电子信息、自动化等相关专业；
2、熟悉主流大模型应用开发框架，掌握大模型原理（如Transformer架构、微调技术、向量数据库等）或AI算法原理（如神经网络、强化学习、树模型、知识图谱等）；或有大模型（如GPT、DeepSeek、Qwen系列等）应用或神经网络（CNN、RNN、GNN等）开发经验，熟悉NLP/知识图谱/智能问答/对话系统/文生图/文生视频等领域；
3、具备扎实的编程能力，熟练掌握 Python、C++、Java 等至少一种编程语言。
【面试流程】
机考-综测-专业面-终面
【你会拥有】
1.接触前沿技术
2.一对一导师带教
3.轻松团队氛围
4.成熟培养机制
期待你的加入！",,"*面向同学：27届找实习 本硕博均有岗位
*Base地：西安、东莞、北京、上海、成都、南京、长沙、济南
【岗位职责】
1、参与实际产品的AI大模型与AI算法在各类业务场景中的应用开发、集成与迭代优化；
2、参与AI大模型与AI算法应用相关的需求分析、模型微调、RAG检索 ，提升模型在各类场景下的应用效果；
3、参与产品、数据、业务等团队协作，建立AI大模型与AI应用相关的数据分析、效果评估、问题定位与持续优化，提升用户体验和业务价值。
【岗位要求】
1、人工智能、计算机、软件工程、电子信息、自动化等相关专业；
2、熟悉主流大模型应用开发框架，掌握大模型原理（如Transformer架构、微调技术、向量数据库等）或AI算法原理（如神经网络、强化学习、树模型、知识图谱等）；或有大模型（如GPT、DeepSeek、Qwen系列等）应用或神经网络（CNN、RNN、GNN等）开发经验，熟悉NLP/知识图谱/智能问答/对话系统/文生图/文生视频等领域；
3、具备扎实的编程能力，熟练掌握 Python、C++、Java 等至少一种编程语言。
【面试流程】
机考-综测-专业面-终面
【你会拥有】
1.接触前沿技术
2.一对一导师带教
3.轻松团队氛围
4.成熟培养机制
期待你的加入！",,Python|Java|C++|大语言模型|RAG|NLP,,Python|Java|C++|大语言模型|RAG|NLP,Python=>编程语言 || Java=>编程语言 || C++=>编程语言 || 大语言模型=>人工智能 || RAG=>人工智能应用 || NLP=>人工智能,Python=>3、具备扎实的编程能力，熟练掌握 Python、C++、Java 等至少一种编程语言。 || Java=>3、具备扎实的编程能力，熟练掌握 Python、C++、Java 等至少一种编程语言。 || C++=>3、具备扎实的编程能力，熟练掌握 Python、C++、Java 等至少一种编程语言。 || 大语言模型=>1、参与实际产品的AI大模型与AI算法在各类业务场景中的应用开发、集成与迭代优化； || RAG=>2、参与AI大模型与AI算法应用相关的需求分析、模型微调、RAG检索 ，提升模型在各类场景下的应用效果； || NLP=>或有大模型（如GPT、DeepSeek、Qwen系列等）应用或神经网络（CNN、RNN、GNN等）开发经验，熟悉NLP/知识图谱/智能问答/对话系统/文生图/文生视频等领域；,job_description_fallback,requirement_section_missing|district_missing
15,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,SdkCX65mVrMwDUySn38TuN,https://www.ncss.cn/student/jobs/SdkCX65mVrMwDUySn38TuN/detail.html,2026-06-24T14:26:37.495930,538708f9d279cbc4,2c07e4fe1ebf2da4,点云算法工程师,丰疆智能科技股份有限公司,西安,,20-24K/月,20000,24000,12,本科,本科及以上,,,,,未说明,全职,,500-999人,其他,2026-05-09,1778263230000,,,unverified_api_only,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"① 激光雷达点云后处理：点云目标识别、点云特征提取、点云分割、点云测算等；
② C++实现上述点云后处理过程；
③ 对已有点云数据进行处理，整理成数据集，供神经网络训练使用；
④ 搭建神经网络，对开源/已有点云进行分割、训练。","① 激光雷达点云后处理：点云目标识别、点云特征提取、点云分割、点云测算等；
② C++实现上述点云后处理过程；
③ 对已有点云数据进行处理，整理成数据集，供神经网络训练使用；
④ 搭建神经网络，对开源/已有点云进行分割、训练。",,"① 激光雷达点云后处理：点云目标识别、点云特征提取、点云分割、点云测算等；
② C++实现上述点云后处理过程；
③ 对已有点云数据进行处理，整理成数据集，供神经网络训练使用；
④ 搭建神经网络，对开源/已有点云进行分割、训练。",,C++,,C++,C++=>编程语言,C++=>② C++实现上述点云后处理过程；,job_description_fallback,requirement_section_missing|major_missing|platform_major_unverified|district_missing
16,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,B7NGXMeUWKnou2LnN7xVFB,https://www.ncss.cn/student/jobs/B7NGXMeUWKnou2LnN7xVFB/detail.html,2026-06-24T14:26:49.505619,d99f7078886d097d,9a9cb649e48a9ed8,3DSlam算法工程师,丰疆智能科技股份有限公司,西安,,20-40K/月,20000,40000,12,硕士,硕士及以上,,,,,未说明,全职,,500-999人,其他,2026-05-09,1778263212000,,,unverified_api_only,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"1.负责基于激光雷达点云数据的3维建图、测量算法开发；
2.负责激光雷达/相机/IMU等多传感器数据采集、处理、融合；
3.负责基于激光雷达/相机/IMU等多传感器融合的建图定位、状态估计等算法的开发。","1.负责基于激光雷达点云数据的3维建图、测量算法开发；
2.负责激光雷达/相机/IMU等多传感器数据采集、处理、融合；
3.负责基于激光雷达/相机/IMU等多传感器融合的建图定位、状态估计等算法的开发。",,"1.负责基于激光雷达点云数据的3维建图、测量算法开发；
2.负责激光雷达/相机/IMU等多传感器数据采集、处理、融合；
3.负责基于激光雷达/相机/IMU等多传感器融合的建图定位、状态估计等算法的开发。",六险一金,,,,,,job_description_fallback,requirement_section_missing|major_missing|platform_major_unverified|skill_candidate_missing|district_missing
17,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,XwrvhUhgYJm2Y5jLTwYJS3,https://www.ncss.cn/student/jobs/XwrvhUhgYJm2Y5jLTwYJS3/detail.html,2026-06-24T14:26:57.152482,11ded55891ecd670,b782ddc5085681bb,海康机器人-超新星实习-机器视觉算法工程师,杭州海康威视数字技术股份有限公司,西安,,9-10K/月,9000,10000,12,硕士,硕士及以上,,,,,未说明,实习,,5000以上,,2026-05-07,1778122866000,,,not_provided,计算机|数学,计算机类|数学,计算机类=>工学 || 数学=>理学,要求,计算机、模式识别、应用数学、自动控制等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"职位描述
1、机器视觉AI方向关键算法研发，包括分类、目标检测、分割、无监督学习等核心算法研发；
2、深度学习相关模型网络设计、优化及相关部署；
3、应用于缺陷检测、定位引导、OCR等相关场景。
职位要求
1、硕士及以上学历；计算机、模式识别、应用数学、自动控制等相关专业；
2、有扎实的编程基础，熟练掌握C/C++；
3、对图像处理、机器视觉和深度学习有较深入的理解与认识；
4、具有扎实的数学功底和良好的英语阅读能力；
5、熟悉各种典型CNN网络的适用场景以及使用方法，熟悉TensorFlow、Caffe、PyTorch等一种或多种主流深度学习框架中;
6、具有机器视觉AI算法开发或项目应用经验者优先。","职位描述
1、机器视觉AI方向关键算法研发，包括分类、目标检测、分割、无监督学习等核心算法研发；
2、深度学习相关模型网络设计、优化及相关部署；
3、应用于缺陷检测、定位引导、OCR等相关场景。
职位要求
1、硕士及以上学历；计算机、模式识别、应用数学、自动控制等相关专业；
2、有扎实的编程基础，熟练掌握C/C++；
3、对图像处理、机器视觉和深度学习有较深入的理解与认识；
4、具有扎实的数学功底和良好的英语阅读能力；
5、熟悉各种典型CNN网络的适用场景以及使用方法，熟悉TensorFlow、Caffe、PyTorch等一种或多种主流深度学习框架中;
6、具有机器视觉AI算法开发或项目应用经验者优先。","1、硕士及以上学历；计算机、模式识别、应用数学、自动控制等相关专业；
2、有扎实的编程基础，熟练掌握C/C++；
3、对图像处理、机器视觉和深度学习有较深入的理解与认识；
4、具有扎实的数学功底和良好的英语阅读能力；
5、熟悉各种典型CNN网络的适用场景以及使用方法，熟悉TensorFlow、Caffe、PyTorch等一种或多种主流深度学习框架中;
6、具有机器视觉AI算法开发或项目应用经验者优先。","1、机器视觉AI方向关键算法研发，包括分类、目标检测、分割、无监督学习等核心算法研发；
2、深度学习相关模型网络设计、优化及相关部署；
3、应用于缺陷检测、定位引导、OCR等相关场景",,C++|TensorFlow|PyTorch|深度学习,C++|TensorFlow|PyTorch|深度学习,C++|TensorFlow|PyTorch|深度学习,C++=>编程语言 || TensorFlow=>深度学习框架 || PyTorch=>深度学习框架 || 深度学习=>人工智能,C++=>2、有扎实的编程基础，熟练掌握C/C++； || TensorFlow=>5、熟悉各种典型CNN网络的适用场景以及使用方法，熟悉TensorFlow、Caffe、PyTorch等一种或多种主流深度学习框架中; || PyTorch=>5、熟悉各种典型CNN网络的适用场景以及使用方法，熟悉TensorFlow、Caffe、PyTorch等一种或多种主流深度学习框架中; || 深度学习=>3、对图像处理、机器视觉和深度学习有较深入的理解与认识；,requirement_text,district_missing
18,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,NWsASLmshWPoefouQgmAU5,https://www.ncss.cn/student/jobs/NWsASLmshWPoefouQgmAU5/detail.html,2026-06-24T14:27:04.834489,73043ddeca397a05,1889166da65ee508,算法工程师,西安知象光电科技有限公司,西安,,15-25K/月,15000,25000,12,硕士,硕士及以上,,,,,未说明,全职,,,其他,2026-05-07,1778119200000,,,unverified_api_only,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"一、岗位职责
1、负责以下算法的开发与优化：机器人控制算法工程师、标定算法工程师、点云后处理算法工程师、三维重建算法工程师、 SLAM算法工程师、AI算法工程师。","一、岗位职责
1、负责以下算法的开发与优化：机器人控制算法工程师、标定算法工程师、点云后处理算法工程师、三维重建算法工程师、 SLAM算法工程师、AI算法工程师。",,"一、岗位职责
1、负责以下算法的开发与优化：机器人控制算法工程师、标定算法工程师、点云后处理算法工程师、三维重建算法工程师、 SLAM算法工程师、AI算法工程师。",,,,,,,job_description_fallback,requirement_section_missing|major_missing|platform_major_unverified|skill_candidate_missing|district_missing
19,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,FQT6ZjLhc9V3qhGd6appHq,https://www.ncss.cn/student/jobs/FQT6ZjLhc9V3qhGd6appHq/detail.html,2026-06-24T14:27:08.777426,df71ab4a9da348f3,07f4b881ea26a04f,算法工程师,陕西元古宙电子科技有限公司,西安,,8-14K/月,8000,14000,12,本科,本科及以上,,,,,未说明,全职,,50-99人,其他,2026-05-07,1778101200000,,,unverified_api_only,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"1、负责计算机相关算法的研发和实现，包括但不限于图像分类、目标检测、语义分割、特征提取等；
2、参与基于深度学习和传统图像处理技术的开发，推动算法在实际业务场景中落地；
3、针对具体应用场景（如视频监控、无人机操控等），开发模型、提高推理效率。","1、负责计算机相关算法的研发和实现，包括但不限于图像分类、目标检测、语义分割、特征提取等；
2、参与基于深度学习和传统图像处理技术的开发，推动算法在实际业务场景中落地；
3、针对具体应用场景（如视频监控、无人机操控等），开发模型、提高推理效率。",,"1、负责计算机相关算法的研发和实现，包括但不限于图像分类、目标检测、语义分割、特征提取等；
2、参与基于深度学习和传统图像处理技术的开发，推动算法在实际业务场景中落地；
3、针对具体应用场景（如视频监控、无人机操控等），开发模型、提高推理效率。",五险一金,深度学习,,深度学习,深度学习=>人工智能,深度学习=>2、参与基于深度学习和传统图像处理技术的开发，推动算法在实际业务场景中落地；,job_description_fallback,requirement_section_missing|major_missing|platform_major_unverified|district_missing
20,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,算法工程师,西安,610100,CfZGmymKzyf6nJkeYoTFbm,https://www.ncss.cn/student/jobs/CfZGmymKzyf6nJkeYoTFbm/detail.html,2026-06-24T14:27:16.364469,0556618102876ee1,cbce3c477f3a8283,AI算法工程师,亚信科技(中国)有限公司,西安,,12-12K/月,12000,12000,12,硕士,硕士及以上,,,,,未说明,全职,,5000以上,民营企业,2026-05-06,1778058000000,,,not_provided,计算机|人工智能,计算机类|人工智能,计算机类=>工学 || 人工智能=>工学,要求,1、2026/2027届硕士及以上学历，人工智能、计算机等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责
1、参与公司AI算法在通信、政务、能源等行业的落地应用，负责大模型微调、推理部署或传统机器学习/深度学习模型的研发与优化。
2、进行数据处理、特征工程、模型训练与评估，配合团队完成算法在业务场景中的交付。
3、跟踪前沿技术（如LLM、AIGC、多模态等），参与技术方案设计与文档编写。
岗位要求
1、2026/2027届硕士及以上学历，人工智能、计算机等相关专业。
2、熟悉Python/C++/Java至少一种语言，了解PyTorch/TensorFlow等框架。
3、掌握机器学习/深度学习基础理论，有NLP、CV、语音、推荐或大模型相关项目/竞赛/论文经验者优先。
4、具备良好的学习能力与团队协作意识，能快速适应研发与交付节奏。","岗位职责
1、参与公司AI算法在通信、政务、能源等行业的落地应用，负责大模型微调、推理部署或传统机器学习/深度学习模型的研发与优化。
2、进行数据处理、特征工程、模型训练与评估，配合团队完成算法在业务场景中的交付。
3、跟踪前沿技术（如LLM、AIGC、多模态等），参与技术方案设计与文档编写。
岗位要求
1、2026/2027届硕士及以上学历，人工智能、计算机等相关专业。
2、熟悉Python/C++/Java至少一种语言，了解PyTorch/TensorFlow等框架。
3、掌握机器学习/深度学习基础理论，有NLP、CV、语音、推荐或大模型相关项目/竞赛/论文经验者优先。
4、具备良好的学习能力与团队协作意识，能快速适应研发与交付节奏。","1、2026/2027届硕士及以上学历，人工智能、计算机等相关专业。
2、熟悉Python/C++/Java至少一种语言，了解PyTorch/TensorFlow等框架。
3、掌握机器学习/深度学习基础理论，有NLP、CV、语音、推荐或大模型相关项目/竞赛/论文经验者优先。
4、具备良好的学习能力与团队协作意识，能快速适应研发与交付节奏。","1、参与公司AI算法在通信、政务、能源等行业的落地应用，负责大模型微调、推理部署或传统机器学习/深度学习模型的研发与优化。
2、进行数据处理、特征工程、模型训练与评估，配合团队完成算法在业务场景中的交付。
3、跟踪前沿技术（如LLM、AIGC、多模态等），参与技术方案设计与文档编写",,Python|机器学习|Java|C++|TensorFlow|PyTorch|深度学习|大语言模型|NLP,Python|机器学习|Java|C++|TensorFlow|PyTorch|深度学习|大语言模型|NLP,Python|机器学习|Java|C++|TensorFlow|PyTorch|深度学习|大语言模型|NLP,Python=>编程语言 || 机器学习=>人工智能 || Java=>编程语言 || C++=>编程语言 || TensorFlow=>深度学习框架 || PyTorch=>深度学习框架 || 深度学习=>人工智能 || 大语言模型=>人工智能 || NLP=>人工智能,Python=>2、熟悉Python/C++/Java至少一种语言，了解PyTorch/TensorFlow等框架。 || 机器学习=>3、掌握机器学习/深度学习基础理论，有NLP、CV、语音、推荐或大模型相关项目/竞赛/论文经验者优先。 || Java=>2、熟悉Python/C++/Java至少一种语言，了解PyTorch/TensorFlow等框架。 || C++=>2、熟悉Python/C++/Java至少一种语言，了解PyTorch/TensorFlow等框架。 || TensorFlow=>2、熟悉Python/C++/Java至少一种语言，了解PyTorch/TensorFlow等框架。 || PyTorch=>2、熟悉Python/C++/Java至少一种语言，了解PyTorch/TensorFlow等框架。 || 深度学习=>3、掌握机器学习/深度学习基础理论，有NLP、CV、语音、推荐或大模型相关项目/竞赛/论文经验者优先。 || 大语言模型=>3、掌握机器学习/深度学习基础理论，有NLP、CV、语音、推荐或大模型相关项目/竞赛/论文经验者优先。 || NLP=>3、掌握机器学习/深度学习基础理论，有NLP、CV、语音、推荐或大模型相关项目/竞赛/论文经验者优先。,requirement_text,district_missing
